V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
-2.795914174,-1.622269774,-0.552998924,-0.001326841,0.709818757,1.723622427,2.897232827,1.551846027,-0.007509889,-1.490620674,0.4597962,0.5893676,0.8213911,0.6425028,0.8156841,0.6112246,0.5917016,-0.7901584,-1.0314421,-0.8413292,-1.7074619,-0.4665614,0.1980396,0.1870502,0.127622,-0.5605319,-1.7806397,-0.4952284,-0.0906374,-0.4952284
-3.277859002,-2.024027002,-0.800131462,0.056848048,0.820787298,2.020872998,3.205298498,1.730949898,0.011276578,-1.640808102,0.55175806,0.94699546,1.26712246,1.02785686,1.36959466,1.00260406,0.46631306,-1.11746854,-1.66843854,-1.11034434,-2.17263779,-0.30893279,0.36249261,0.46957821,0.33783121,-0.26801829,-2.04239679,-0.67244579,-0.35354379,-0.67236829
-3.562619923,-2.258742223,-0.655890923,0.041735177,0.746553177,2.184312477,3.446000777,1.896202477,-0.158987053,-2.086547323,0.6823124,1.2275519,1.4399341,1.3691844,1.4401245,1.2362124,0.6758698,-0.869906,-1.2451528,-1.060247,-2.31635982,-0.52250162,0.32925838,0.36325888,0.24462638,-0.56791162,-2.45718962,-0.84545062,-0.08741162,-0.77207362
-3.474247336,-1.988359536,-0.752527266,-0.051825979,0.730715764,1.905322264,3.188417964,1.808182864,0.087709794,-1.758592736,0.53448532,0.93768172,1.03615812,0.89900102,0.95733342,0.80770732,0.32338432,-0.88173268,-0.90621418,-0.80248968,-1.89782546,-0.39273046,0.19660354,0.27331094,0.16173754,-0.46344446,-1.80882046,-0.57348546,0.02579954,-0.33357046
-3.134502254,-1.952857154,-0.774822584,0.043505412,0.801695446,1.970151046,2.931821346,1.630241946,0.050587746,-1.621318854,0.61617148,0.84462418,1.02419218,0.88596768,1.07980348,0.93992068,0.68310228,-1.05666172,-1.52442532,-1.08789232,-1.79252349,-0.16973949,0.51337901,0.61213851,0.49687591,-0.27681549,-1.84469649,-0.85695349,-0.31375999,-0.70887649
-3.409211056,-2.200967856,-1.110709656,-0.113989966,1.019199444,2.105991344,3.179602244,1.765857944,0.030948782,-1.587371056,0.91831149,0.96207909,1.09009389,0.92849229,1.05892089,0.93025609,0.82259389,-0.57158341,-0.92293671,-0.61854071,-2.11831366,-0.58390566,0.26975684,0.43830934,0.18701834,-0.82086666,-2.25450066,-0.66740466,0.16974434,-0.21574866
-2.953426034,-1.944729734,-0.679562434,0.017605581,0.788074496,1.822317866,3.055881566,1.586692466,0.112694304,-1.396041434,0.2809649,0.6056445,0.9362187,0.6905049,0.9361105,0.6623703,0.3084671,-0.7673805,-0.9713831,-0.8867981,-1.83352896,-0.47096456,0.22442044,0.26331144,0.13710244,-0.45357656,-1.84712256,-0.71882656,-0.09909856,-0.33054856
-2.910074012,-2.040902412,-0.532454712,0.041756068,0.756460328,1.917570088,2.775030788,1.569019288,0.049523668,-1.598692412,0.47830288,0.81907258,1.03804328,0.94209388,1.08467888,1.00132568,0.73372648,-0.74168682,-1.33411532,-1.00004812,-1.70310601,-0.20694251,0.68311199,0.67059499,0.51383299,-0.32075661,-1.61836051,-0.46612141,-0.04663301,-0.49645901
-3.171902755,-2.106114855,-0.739862535,0.086421009,1.010004845,2.236439845,3.088965445,1.517456645,-0.10448236,-1.815225455,0.57836599,1.03411759,1.15528559,1.03361259,1.19863439,1.01493829,0.64654099,-0.76589611,-1.20546681,-0.73444571,-1.8838985,-0.3799385,0.354324,0.376335,0.1429765,-0.7776575,-2.1399295,-0.5919119,-0.0318775,-0.5437495
-2.829212006,-1.928226706,-0.822913256,0.088473684,0.949728094,2.112987394,2.825599494,1.582956694,0.068608834,-1.586779006,0.97084018,1.23977068,1.40919568,1.23100938,1.36955228,1.29064768,0.91424888,-0.72402662,-1.45162512,-0.97087462,-1.90523552,-0.98769702,0.14649998,0.32525498,0.07871898,-1.01544502,-1.91070502,-1.08876502,-0.46387262,-0.82566502
-2.903598538,-2.100222938,-0.809388238,-0.114086758,0.651546562,1.755361262,2.836211862,1.569753562,0.041295269,-1.463616238,0.28678176,0.82075856,1.05158856,0.90655286,1.08050856,0.86530326,0.23465756,-1.05195444,-1.24566514,-0.98106194,-1.91223493,-0.75634513,0.13658047,0.21147647,0.16255247,-0.46298753,-1.70827753,-0.51791953,0.01516347,-0.45475253
-3.027105212,-2.047513412,-0.635500212,-0.012691692,0.712770788,2.054781088,3.121056288,1.793776388,0.203687448,-1.583225512,0.3716682,0.8538582,1.1350862,0.9647812,1.1284847,0.9098066,0.4806162,-0.7282518,-1.1596352,-0.8318664,-2.054882,-0.501998,0.402615,0.410833,0.341523,-0.590212,-1.999571,-0.646273,0.0319744,-0.542936
-2.896318773,-1.870097773,-0.422871943,0.213634427,0.753018827,1.998878627,3.102801427,1.882961027,0.067138247,-1.677277773,0.33706714,0.81682964,1.14241934,1.05119484,1.12759294,0.89815694,0.55757334,-0.76435466,-1.15185126,-0.91207196,-1.6751026,-0.3509471,0.3796359,0.3733399,0.2503724,-0.6877871,-1.8760611,-0.6484671,-0.0079111,-0.4148821
-3.131957212,-2.051233012,-0.677675412,-0.163596432,0.562078839,1.767037289,3.052698889,1.851500389,0.004830499,-1.778236112,-0.1300454,0.6550308,0.9703909,0.789811,0.9811043,0.6989386,-0.0930347,-1.0254677,-1.142497,-1.1789903,-1.8089596,-0.4311596,0.2795754,0.3107764,0.2738554,-0.2539966,-1.6274426,-0.2870141,0.1633969,-0.3370422
-3.161125542,-1.985504242,-0.653516242,0.113119659,0.934735859,1.968304959,3.233704359,1.657860759,0.136448729,-1.522874042,0.58854891,0.79964501,0.87149221,0.67674571,0.92176371,0.84569921,0.71533321,-0.80755619,-1.02511479,-0.81110109,-1.64349792,-0.03399232,0.70658108,0.70870008,0.60048208,-0.11823392,-1.97035252,-0.63446892,-0.03180252,-0.33734552
-2.859670158,-1.973669558,-0.559846658,0.010725823,0.651751742,2.013668842,2.954462042,1.572113942,0.074480532,-1.615572558,0.1433201,0.8775276,1.2038999,1.0698819,1.2635509,0.9370059,0.4156174,-0.8532351,-1.2211314,-1.0102506,-1.80451725,-0.50464945,0.11010255,0.14884655,0.02642615,-0.67450545,-2.04600445,-0.73022245,-0.21251995,-0.56325345
-3.211974463,-2.058846163,-0.865105063,0.012484422,0.871939987,2.204720537,3.103438437,1.830960337,0.03462671,-1.961443063,0.11803719,0.77082029,0.98768089,0.92530939,0.98013549,0.83867909,0.28058919,-1.17709921,-1.39491601,-1.20999921,-2.0549259,-0.4866544,0.3442546,0.4313811,0.2725132,-0.8161154,-2.2700704,-0.6044484,0.0782256,-0.3716298
-2.84918,-1.8462976,-0.7553932,0.003228749,0.8602727,1.8938069,2.5809264,1.607625,-0.050589492,-1.6266947,0.25942398,0.83796148,0.92787508,0.75243178,0.99835248,0.93193548,0.32456178,-0.82437752,-1.19093072,-0.92580032,-1.52041765,-0.56443665,0.20561835,0.29627435,0.21988735,-0.49846665,-1.54971165,-0.59738105,-0.03407965,-0.45524165
