V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
-2.344359574,-1.367193974,-0.506939774,-0.046161264,0.528945467,1.353449227,2.333677627,1.317675227,-0.002229289,-1.266863674,-0.0250114,0.2868079,0.5920169,0.4004806,0.5902446,0.2894974,0.0748096,-0.654821,-0.8562292,-0.6977954,-0.9575794,0.0033486,0.4806796,0.4715986,0.4348966,-0.078953,-0.9863428,0.0647836,0.4338586,0.1337096
-2.753321902,-1.723359602,-0.732257042,0.003296262,0.675234998,1.660924198,2.787663198,1.541461298,0.025177496,-1.484818902,-0.18302174,0.55531776,0.93090406,0.64092356,0.96534036,0.45963806,-0.21503654,-0.94419864,-1.26975894,-0.94010794,-1.25479879,0.21045621,0.68758171,0.77667021,0.68183921,0.25999421,-1.19529179,-0.17012779,0.10188421,-0.09820739
-2.750709823,-1.583325123,-0.433092443,0.059724007,0.571399647,1.583869677,2.536014377,1.463549877,0.026268727,-1.473698923,-0.09147,0.309937,0.5704737,0.4957261,0.6163134,0.3754706,-0.0282626,-0.6295708,-0.8556438,-0.7629736,-0.94329502,0.14937338,0.62505888,0.60612538,0.53815938,0.01111138,-1.13872002,-0.19380362,0.35650638,-0.01051612
-2.814534936,-1.581760336,-0.556939936,0.053565044,0.697341734,1.634885764,2.620018164,1.415960564,0.027264674,-1.495800736,-0.21228298,0.34787732,0.57006782,0.43005832,0.52381782,0.25587232,-0.30875168,-0.57671298,-0.55066928,-0.47927668,-1.02063846,0.13001054,0.53558254,0.59842854,0.46240154,-0.03556246,-1.07085386,-0.10944546,0.42663054,0.08344654
-2.595529654,-1.468546554,-0.593482304,0.026245856,0.605673546,1.467545846,2.425843246,1.438088246,0.098060326,-1.403898554,-0.08399102,0.37401208,0.66370548,0.46649268,0.68946518,0.37166068,0.02391328,-0.68508872,-1.05219332,-0.76797632,-1.06218449,0.20296501,0.72726111,0.76643291,0.73143051,0.14133291,-1.16692449,-0.31115049,0.17851251,-0.20767549
-2.640950456,-1.669003756,-0.806936806,-0.037690386,0.832015644,1.664908044,2.510595644,1.457256044,0.018567082,-1.328761056,-0.04481501,0.36446499,0.70258499,0.53415059,0.75089469,0.39520799,-0.04813341,-0.83766971,-1.01944001,-0.79724511,-1.11233766,0.10121434,0.71022534,0.75895734,0.60080334,-0.11171566,-1.32319706,-0.12827266,0.33633934,0.16798334
-2.409044534,-1.519292934,-0.569811294,-0.003822801,0.613475516,1.419578566,2.400896766,1.265805666,0.018036782,-1.215821734,-0.3769781,0.3131074,0.8274863,0.5470749,0.8173429,0.4219739,-0.1883761,-0.6837864,-0.8492631,-0.8285817,-0.94986556,0.07356944,0.55598344,0.58472044,0.50976744,0.08977244,-0.99314856,-0.18626096,0.27010844,0.04535344
-2.460439712,-1.502253712,-0.407803212,0.026888244,0.559206688,1.435366888,2.341136888,1.272183288,0.018940848,-1.283226212,-0.28375512,0.11389588,0.58879048,0.44378038,0.59978468,0.29933788,-0.03624912,-0.41328332,-0.71041212,-0.60188962,-1.08243701,0.10254659,0.68495999,0.65263899,0.58330749,0.05399659,-1.01338161,-0.10024101,0.26484399,-0.14623401
-2.544237155,-1.635792755,-0.578496705,0.046074115,0.737765205,1.669387245,2.449240445,1.376341545,-0.028197782,-1.492084155,-0.16590941,0.34318559,0.68334409,0.47149259,0.67403259,0.24681359,-0.24040741,-0.62041641,-0.87148011,-0.52065511,-1.0498465,0.1462925,0.736385,0.7350915,0.6200605,-0.115265,-1.2561245,-0.1548945,0.4076715,-0.0693705
-2.091618706,-1.394364906,-0.565273356,0.02983956,0.600472894,1.501292494,2.001261394,1.240172894,-0.036834358,-1.284947906,-0.11146952,0.30812788,0.68472618,0.49166438,0.64972848,0.35507228,-0.18234692,-0.67906452,-0.79075712,-0.72568112,-0.66508042,-0.06591102,0.55545198,0.55156798,0.54380698,-0.04545402,-0.83158602,-0.24413042,0.27385098,-0.07251602
